Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Straw,Mustard Seed,Saffron,Hay,Cheese,Butter,Milk,Beef,Mutton,Pork,Bacon,Tallow,Wool,Eggs Quid,Firewood,Timber,Cider,Honey
Type,1209 = 1,1700 = 1,Pound/day,Pound/day,Pound/day,Pound/day,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Litre,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Dozen,Quid/Bundle 3 feet long by 2 feet circumference,Quid/Cubic Foot,Quid/Litre,Quid/Litre
1256,1.44688401,,0.005437606,0,0.007024419,0.015917589,0.000569527,0,0.000436331,0.000453892,0.000532783,0,0,0,0,0,0,0,0.00440924,0,0,0,0,0,0,0.012860283,0.042806372,0,0,0,0.000274962,0.000916539
1257,1.677145442,,0.005539912,0,0.0097883,0.013193674,0.001377888,0,0.001194169,0.000842943,0.001322772,0,0,0,0,0,0,0,0.00440924,0,0,0,0,0,0,0.012768424,0.03417161,0,0.002525,0,0.000284127,0.000916539
1258,1.64916558,,0.005310384,0,0.007006432,0.013045991,0.001561606,0,0.001240099,0.000940206,0.001377888,0,0,0,0,0,0,0.000111333,0.00440924,0,0,0,0,0,0,0.01543234,0.035549498,0,0.001954167,0,0.000348285,0.000916539
1259,1.574573239,,0.005310384,0,0.008869609,0.012861575,0.001561606,0,0.001240099,0.000940206,0.001377888,0,0,0,0,0,0,0.000111333,0.00440924,0,0,0,0,0,0,0.025628708,0.042806372,0,0.001954167,0,0.000348285,0.000916539
1260,1.40415254,,0.005310384,0,0.008726318,0.012473311,0.000826733,0,0.001240099,0.000940206,0.001377888,0,0,0,0,0,0,0.000111333,0.00440924,0,0,0,0,0,0,0.025628708,0.042806372,0.001458333,0.001954167,0,0.000348285,0.000916539
1261,1.488459651,,0.005571278,0,0.008726318,0.012473311,0.000863476,0,0.001240099,0.000940206,0.001377888,0,0,0,0,0,0,0.000111333,0.005052254,0.007532452,0,0,0,0,0,0.025628708,0.042806372,0.001291667,0.001954167,0,0.000348285,0.000916539
1262,1.508508999,,0.00733237,0,0.008726318,0.012473311,0.000936964,0,0.001240099,0.000940206,0.001377888,0,0,0,0,0,0,0.000111333,0.004868536,0.008634762,0,0,0,0,0,0.025628708,0.056401528,0.001083333,0.001954167,0,0.000339119,0.000916539
1263,1.356260735,,0.005394991,0,0.009412197,0.013987368,0.000808361,0,0.000734873,0.000713259,0.000808361,0,0,0,0,0,0,0.000111333,0.005144113,0.00771617,0,0,0,0,0,0.025628708,0.041061048,0.001083333,0.001954167,0,0.00035745,0.000916539
1264,1.380389545,,0.004946164,0,0.006091209,0.013564272,0.000771617,0,0.000734873,0.000713259,0.000808361,0,0,0,0,0,0,0.000111333,0.004133663,0.007348733,0,0,0,0,0,0.025628708,0.056401528,0.001083333,0.001954167,0,0.00035745,0.000916539
1265,1.430791289,,0.005347483,0,0.005903504,0.013808981,0.000863476,0,0.000849697,0.000648418,0.000808361,0,0,0,0,0,1.22246179,0.000111333,0.004225522,0.00771617,0,0,0,0,0,0.01543234,0.041061048,0.002541667,0.001954167,0,0.000366615,0.000916539
1266,1.439598519,,0.005160921,0,0.005903504,0.012175509,0.000845104,0,0.000711909,0.000551155,0.000661386,0,0,0,0,0,1.22246179,0.000111333,0.00551155,0.008267325,0,0,0,0,0,0.014146312,0.040601752,0.002541667,0.001954167,0,0.000348285,0.000916539
1267,1.545397634,,0.005160921,0,0.005903504,0.01145327,0.000955335,0,0.000711909,0.000551155,0.000661386,0,0,0,0,0,1.22246179,0.000111333,0.00551155,0.009461494,0,0,0,0,0,0.026179863,0.040601752,0.001291667,0.001954167,0,0.000348285,0.000916539
1268,1.320294026,,0.005201871,0,0.007734865,0.013293826,0.000734873,0,0.000620049,0.000551155,0.000514411,0,0,0,0,0,1.22246179,0.000111333,0.005052254,0.00771617,0,0,0,0,0,0.015707918,0.045102851,0.001291667,0.001954167,0,0.000311623,0.000916539
1269,1.574823727,,0.005325452,0,0.006395609,0.012505922,0.000992079,0,0.000895627,0.000875364,0.000973707,0,0,0,0,0,1.22246179,0.000111333,0.005144113,0.00771617,0,0,0,0,0,0.022597355,0.046848175,0.0015,0.001954167,0,0.000284127,0.000916539
1270,1.541930321,,0.005074021,0,0.006395609,0.012427049,0.001120682,0,0.000780803,0.000875364,0.00110231,0,0,0,0,0,1.22246179,0.000111333,0.004868536,0.008083607,0,0,0,0,0,0.022505496,0.050155105,0.0015,0.003020833,0,0.000284127,0.000916539
